,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of Movies,Votes,Gross
365,Vals Im Bashir,2008,90,8,91,"55,840",$2.28M
366,Nefes: Vatan Sagolsun,2009,128,8,^^,"32,421",^^
367,Slumdog Millionaire,2008,120,8,84,"811,313",$141.32M
368,Black Swan,2010,108,8,79,"714,929",$106.95M
369,Tropa de Elite,2007,115,8,33,"99,662",$0.01M
370,The Avengers,2012,143,8,69,"1,290,076",$623.28M
371,Persepolis,2007,96,8,90,"90,420",$4.45M
372,Dallas Buyers Club,2013,117,8,80,"454,288",$27.30M
373,Lage Raho Munna Bhai,2006,144,8,^^,"44,271",$2.22M
374,The Pursuit of Happyness,2006,117,8,64,"464,298",$163.57M
375,Blood Diamond,2006,143,8,64,"510,740",$57.37M
376,The Bourne Ultimatum,2007,115,8,85,"611,816",$227.47M
377,Bin-jip,2004,88,8,72,"52,101",$0.24M
378,Sin City,2005,124,8,74,"744,635",$74.10M
379,Le scaphandre et le papillon,2007,112,8,92,"104,470",$5.99M
380,Taegukgi hwinalrimyeo,2004,140,8,64,"38,289",$1.11M
381,G.O.R.A.,2004,127,8,^^,"58,859",^^
382,Ratatouille,2007,111,8,96,"659,354",$206.45M
383,Casino Royale,2006,144,8,80,"593,204",$167.45M
384,Kill Bill: Vol. 2,2004,137,8,83,"700,593",$66.21M
385,Vozvrashchenie,2003,110,8,82,"43,583",$0.50M
386,Bom yeoreum gaeul gyeoul geurigo bom,2003,103,8,85,"78,996",$2.38M
387,Mar adentro,I 2004,126,8,74,"78,788",$2.09M
388,Cinderella Man,2005,144,8,69,"179,183",$61.65M
389,Mou gaan dou,2002,101,8,75,"119,494",$0.17M
390,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8,63,"1,032,601",$305.41M
391,Big Fish,2003,125,8,58,"422,029",$66.26M
392,The Incredibles,2004,115,8,90,"671,808",$261.44M
393,Yeopgijeogin geunyeo,2001,137,8,^^,"46,108",^^
394,Dogville,2003,178,8,60,"140,583",$1.53M
395,Vizontele,2001,110,8,^^,"34,671",^^
396,Donnie Darko,2001,113,8,88,"754,302",$1.48M
397,Magnolia,1999,188,8,77,"294,513",$22.46M
398,Dancer in the Dark,2000,140,8,61,"104,521",$4.18M
399,The Straight Story,1999,112,8,86,"83,955",$6.20M
400,Pâfekuto burû,1997,81,8,^^,"62,909",$0.78M
401,Central do Brasil,1998,110,8,80,"37,377",$5.60M
402,The Iron Giant,1999,86,8,85,"177,005",$23.16M
403,Sling Blade,1996,135,8,84,"88,728",$24.48M
404,Secrets & Lies,1996,136,8,91,"39,052",$13.42M
405,Twelve Monkeys,1995,129,8,74,"589,048",$57.14M
406,Kôkaku Kidôtai,1995,83,8,76,"133,230",$0.52M
407,The Nightmare Before Christmas,1993,76,8,82,"305,601",$75.08M
408,Groundhog Day,1993,101,8,72,"588,990",$70.91M
409,Bound by Honor,1993,180,8,47,"29,418",$4.50M
410,Scent of a Woman,1992,156,8,59,"273,795",$63.90M
411,Aladdin,1992,90,8,86,"381,655",$217.35M
412,JFK,1991,189,8,72,"145,652",$70.41M
413,Beauty and the Beast,1991,84,8,95,"423,755",$218.97M
414,Dances with Wolves,1990,181,8,72,"246,910",$184.21M
415,Do the Right Thing,1989,120,8,93,"93,671",$27.55M
416,Rain Man,1988,133,8,65,"483,017",$178.80M
417,Akira,1988,124,8,^^,"170,281",$0.55M
418,Der Himmel über Berlin,1987,128,8,79,"66,512",$3.33M
419,Au revoir les enfants,1987,104,8,88,"31,999",$4.54M
